id,nombreCientifico,kingdom,phylum,clase,orden,family,genus,specificEpithet,rango,autor,nombreComun
urn:lsid:catalogueoflife.org:taxon:effaf81a-29c1-102b-9a4a-00304854f820:col20120124,Aburria aburri,Animalia,Chordata,Aves,Galliformes,Cracidae,Aburria,aburri,Especie,"(Lesson, 1828)",Pava Aburria
urn:lsid:ubio.org:namebank:3854676,Aburria cumanensis,Animalia,Chordata,Aves,Galliformes,Cracidae,Aburria,cumanensis,Especie,"(Jacquin, 1784)",Pava Goliazul
urn:lsid:catalogueoflife.org:taxon:d1cf7cf9-2dc5-11e0-98c6-2ce70255a436:col20120124,Accipiter bicolor,Animalia,Chordata,Aves,Ciconiiformes,Accipitridae,Accipiter,bicolor,Especie,"(Vieillot, 1817)",
urn:lsid:catalogueoflife.org:taxon:eff0b472-29c1-102b-9a4a-00304854f820:col20120124,Accipiter collaris,Animalia,Chordata,Aves,Ciconiiformes,Accipitridae,Accipiter,collaris,Especie,"Sclater, 1860",Gavilancito Torcaz
urn:lsid:catalogueoflife.org:taxon:d1cf784a-2dc5-11e0-98c6-2ce70255a436:col20120124,Accipiter cooperii,Animalia,Chordata,Aves,Ciconiiformes,Accipitridae,Accipiter,cooperii,Especie,"(Bonaparte, 1828)",
urn:lsid:catalogueoflife.org:taxon:eff2ba10-29c1-102b-9a4a-00304854f820:col20120124,Accipiter poliogaster,Animalia,Chordata,Aves,Ciconiiformes,Accipitridae,Accipiter,poliogaster,Especie,"(Temminck, 1824)",Azor Ventrigrís
urn:lsid:catalogueoflife.org:taxon:d1cf7612-2dc5-11e0-98c6-2ce70255a436:col20120124,Accipiter striatus,Animalia,Chordata,Aves,Ciconiiformes,Accipitridae,Accipiter,striatus,Especie,"Vieillot, 1808",
urn:lsid:catalogueoflife.org:taxon:eff2bff6-29c1-102b-9a4a-00304854f820:col20120124,Accipiter superciliosus,Animalia,Chordata,Aves,Ciconiiformes,Accipitridae,Accipiter,superciliosus,Especie,"(Linnaeus, 1766)",
urn:lsid:catalogueoflife.org:taxon:eff4ef56-29c1-102b-9a4a-00304854f820:col20120124,Adelomyia melanogenys,Animalia,Chordata,Aves,Apodiformes,Trochilidae,Adelomyia,melanogenys,Especie,"(Fraser, 1840)",
urn:lsid:catalogueoflife.org:taxon:f33d2778-29c1-102b-9a4a-00304854f820:col20120124,Aegolius harrisii,Animalia,Chordata,Aves,Strigiformes,Strigidae,Aegolius,harrisii,Especie,"(Cassin, 1849)",
urn:lsid:organismnames.com:name:4438407,Agalychnis danieli,Animalia,Chordata,Amphibia,Anura,Hylidae,Agalychnis,danieli,Especie,"(Ruíz-Carranza, Hernandez-Camacho and Rueda-Almonacid, 1988)",
